                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85151,                 1.1585,                 1.0458,                0.75587,                0.77765,                 0.8212,                0.62077,                0.86078,                 0.9778,                   1.07,             0.00066385,             0.00066385,             0.00066385
                      2,                0.87275,                0.88582,                 1.0575,                0.77012,                0.79135,                0.84871,                0.64889,                0.86471,                0.79535,                 1.0536,              0.0013173,              0.0013173,              0.0013173
                      3,                0.87577,                0.82827,                 1.0596,                0.80766,                 0.8159,                0.87229,                0.67148,                0.83396,                0.76246,                 1.0381,              0.0019576,              0.0019576,              0.0019576
                      4,                0.86237,                0.79137,                 1.0591,                0.79665,                0.79616,                0.86065,                0.66366,                0.86749,                0.81709,                 1.0819,              0.0019406,              0.0019406,              0.0019406
                      5,                0.85421,                0.76381,                 1.0546,                0.81583,                0.82786,                0.89456,                0.70556,                0.79247,                0.66861,                 1.0185,              0.0019208,              0.0019208,              0.0019208
                      6,                0.82964,                0.72485,                 1.0409,                0.81101,                 0.7844,                0.87388,                0.69897,                 0.7605,                0.69432,                 1.0154,               0.001901,               0.001901,               0.001901
                      7,                0.82437,                0.71069,                 1.0361,                0.83449,                0.82769,                0.90381,                0.72554,                0.74238,                0.60332,                0.99404,              0.0018812,              0.0018812,              0.0018812
                      8,                0.82046,                0.69652,                 1.0338,                0.82647,                0.82804,                0.89098,                0.71265,                0.74045,                0.66509,                0.99177,              0.0018614,              0.0018614,              0.0018614
                      9,                0.81001,                0.70496,                 1.0301,                0.77532,                0.81807,                0.85996,                0.67529,                0.74957,                0.71398,                0.99679,              0.0018416,              0.0018416,              0.0018416
                     10,                0.80502,                0.68772,                 1.0223,                0.81226,                0.84506,                0.90247,                0.73588,                0.72385,                0.58087,                0.98103,              0.0018218,              0.0018218,              0.0018218
                     11,                0.78641,                0.66431,                 1.0225,                0.83978,                0.83287,                0.90478,                0.72584,                0.74463,                0.59651,                0.99864,               0.001802,               0.001802,               0.001802
                     12,                0.79072,                0.67523,                  1.023,                0.82842,                0.83274,                0.90229,                0.72534,                0.72468,                0.66224,                0.99318,              0.0017822,              0.0017822,              0.0017822
                     13,                0.79267,                0.66418,                 1.0174,                0.82465,                0.84487,                 0.9014,                0.72585,                0.73662,                0.58229,                0.98159,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.7874,                0.64507,                 1.0114,                0.83993,                0.83565,                0.91187,                0.73623,                0.73429,                0.56206,                0.98494,              0.0017426,              0.0017426,              0.0017426
                     15,                0.78614,                0.65224,                 1.0208,                0.83323,                0.85071,                0.91041,                0.74328,                0.70834,                0.55462,                0.97526,              0.0017228,              0.0017228,              0.0017228
                     16,                0.77692,                0.64333,                 1.0131,                0.83381,                0.83607,                 0.9119,                0.74434,                0.70719,                0.55196,                0.96733,               0.001703,               0.001703,               0.001703
                     17,                0.77245,                 0.6303,                 1.0083,                0.83003,                0.83054,                0.90453,                0.73547,                0.70262,                 0.5749,                0.97317,              0.0016832,              0.0016832,              0.0016832
                     18,                0.76765,                 0.6272,                 1.0104,                0.84127,                 0.8477,                0.91586,                0.74941,                0.70437,                0.54023,                 0.9706,              0.0016634,              0.0016634,              0.0016634
                     19,                0.77229,                0.63059,                 1.0126,                0.84978,                0.82894,                0.91347,                0.75012,                0.69518,                0.52898,                 0.9696,              0.0016436,              0.0016436,              0.0016436
                     20,                0.75842,                 0.6221,                 1.0087,                0.84074,                0.84092,                0.91516,                 0.7479,                0.70147,                0.54973,                0.96859,              0.0016238,              0.0016238,              0.0016238
                     21,                0.75703,                0.61527,                  1.004,                0.85621,                0.83748,                0.91805,                0.75001,                 0.7025,                0.53784,                0.96778,               0.001604,               0.001604,               0.001604
                     22,                0.75997,                0.61409,                 1.0057,                0.83244,                0.85605,                0.91578,                0.75155,                0.69764,                0.55519,                0.97132,              0.0015842,              0.0015842,              0.0015842
                     23,                0.75603,                0.60722,                 1.0005,                0.85322,                0.83525,                0.91559,                0.75184,                0.69182,                0.52509,                0.96169,              0.0015644,              0.0015644,              0.0015644
                     24,                0.75237,                0.60161,                 1.0016,                0.84576,                0.81773,                0.90987,                0.74916,                0.68964,                 0.5339,                0.95911,              0.0015446,              0.0015446,              0.0015446
                     25,                0.74825,                0.60523,                 1.0019,                0.84713,                0.84367,                0.91867,                0.75905,                0.69668,                0.51617,                0.96833,              0.0015248,              0.0015248,              0.0015248
                     26,                0.74532,                0.58624,                0.99241,                0.83975,                0.84711,                0.91847,                0.75566,                0.69288,                0.51572,                0.96297,               0.001505,               0.001505,               0.001505
                     27,                0.74118,                0.58608,                0.99598,                0.84338,                0.83624,                0.91193,                0.75063,                0.69071,                0.53835,                0.96925,              0.0014852,              0.0014852,              0.0014852
