                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33332,                0.99003,                      1,                0.34234,             0.00023721,             0.00023721,             0.00023721
                      2,                0.13227,                0.98754,                      1,                0.33005,             0.00047051,             0.00047051,             0.00047051
                      3,                0.09152,                0.99751,                      1,                0.31862,             0.00069909,             0.00069909,             0.00069909
                      4,                0.08926,                0.99834,                      1,                0.31856,             0.00069279,             0.00069279,             0.00069279
                      5,                0.05689,                0.99751,                      1,                  0.319,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.0459,                0.99003,                      1,                 0.3251,             0.00067866,             0.00067866,             0.00067866
                      7,                0.03853,                0.99834,                      1,                0.31556,             0.00067159,             0.00067159,             0.00067159
                      8,                0.02797,                      1,                      1,                0.31416,             0.00066452,             0.00066452,             0.00066452
                      9,                0.02678,                      1,                      1,                0.31488,             0.00065745,             0.00065745,             0.00065745
                     10,                0.04007,                0.99502,                      1,                0.31822,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02623,                      1,                      1,                0.31469,             0.00064331,             0.00064331,             0.00064331
                     12,                0.02051,                      1,                      1,                0.31429,             0.00063625,             0.00063625,             0.00063625
                     13,                0.01587,                0.99917,                      1,                0.31521,             0.00062918,             0.00062918,             0.00062918
                     14,                0.01678,                      1,                      1,                0.31431,             0.00062211,             0.00062211,             0.00062211
                     15,                0.01925,                      1,                      1,                0.31382,             0.00061504,             0.00061504,             0.00061504
                     16,                0.01245,                      1,                      1,                0.31377,             0.00060797,             0.00060797,             0.00060797
                     17,                0.02246,                0.99751,                      1,                0.31738,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01442,                0.99917,                      1,                 0.3148,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02152,                      1,                      1,                0.31366,             0.00058677,             0.00058677,             0.00058677
                     20,                0.01101,                0.99834,                      1,                0.31461,              0.0005797,              0.0005797,              0.0005797
                     21,                0.01752,                0.98671,                      1,                0.32651,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01594,                      1,                      1,                0.31359,             0.00056556,             0.00056556,             0.00056556
